device_name,date,time,temp,humid,soil,soil_temp,salt,bat,batcharge,wifi_ssid,Gn
30c6f71d7da4,2023-01-18,15:04,22.2,40.0,72.0,4095.938,143.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:10,21.1,39.0,73.0,4095.938,142.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:15,21.1,41.0,72.0,4095.938,141.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:20,20.9,44.0,73.0,4095.938,140.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:25,20.6,44.0,75.0,4095.938,140.0,100.0,charging,Fly in the sky 2.4g,0
30c6f71d7da4,2023-01-18,15:31,19.7,41.0,73.0,4095.938,139.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:36,19.2,45.0,74.0,4095.938,138.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:41,18.7,43.0,73.0,4095.938,137.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:46,18.0,43.0,73.0,4095.938,136.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:51,18.2,46.0,73.0,4095.938,135.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,15:56,18.1,47.0,73.0,4095.938,134.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:02,17.9,49.0,74.0,4095.938,133.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:07,17.7,48.0,73.0,4095.938,133.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:12,17.5,50.0,71.0,4095.938,131.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:17,17.5,49.0,73.0,4095.938,131.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:23,17.5,49.0,73.0,4095.938,131.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:28,17.2,46.0,73.0,4095.938,130.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:33,17.0,50.0,73.0,4095.938,129.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:38,16.8,47.0,72.0,4095.938,128.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:43,16.5,48.0,73.0,4095.938,128.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:48,16.4,50.0,73.0,4095.938,128.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:54,16.2,50.0,73.0,4095.938,128.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,16:59,16.0,50.0,73.0,4095.938,128.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,17:04,15.9,51.0,71.0,4095.938,127.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,17:09,15.6,55.0,71.0,4095.938,126.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,17:14,15.5,51.0,73.0,4095.938,126.0,100.0,charging,Fly in the sky 2.4g,1
